#,author,year,outcome_cat,predictor_cat,N,TE,seTE,lower,upper,log_TE,log_seTE,log_lower,log_upper,country,income,study
22,De Souza,2020,Cognition,Other,287,0.92,1.0251514399458588,0.88,0.97,-0.083381608939051,0.0248403479656062,-0.127833371509885,-0.0304592074847086,Brazil,UMI,clinic of the University of Southern Santa Catarina
22,De Souza,2020,Cognition,SDOH,287,0.95,1.0409680158701196,0.88,1.03,-0.0512932943875506,0.0401510647325075,-0.127833371509885,0.0295588022415444,Brazil,UMI,clinic of the University of Southern Santa Catarina
24,Cararo,2019,Cognition,Health,1197,1.495,1.343690138912783,0.8418749999999999,2.6775,0.32898511866118074,0.29390844743598504,-0.24816819008339963,0.9039529238656617,Brazil,UMI,Epi-Floripa Ageing
25,Vancampfort,2019,Cognition,Other,2070,1.53,1.4112702181194567,0.78,3.01,0.425267735404344,0.344490162770225,-0.2484613592985,1.10194007876078,Mexico,UMI,SAGE
31,Bello-Chavolla,2017,Cognition,Health,135,1.842,1.5549024105798093,0.673,4.692,0.4393501716928271,0.41769757126885965,-0.5903757841614736,1.0469986952124564,Mexico,UMI,Local study
31,Bello-Chavolla,2017,Cognition,Mental health,135,3.71,1.6951962758237469,1.32,10.45,1.31103187661934,0.527798531074628,0.27763173659828,2.34660197841082,Mexico,UMI,Local study
31,Bello-Chavolla,2017,Cognition,Other,135,4.89,2.119906613767842,1.12,21.3,1.58719230348678,0.751372037604178,0.113328685307003,3.05870707271538,Mexico,UMI,Local study
32,Zamora-Macorra ,2017,Cognition,Demographic,545,1.464,1.7198579023375404,0.532,4.17,0.05336175096255134,0.5312867602491769,-0.9653113655304807,1.1173327346462927,Mexico,UMI,SAGE
32,Zamora-Macorra ,2017,Cognition,SDOH,577,1.1529411764705884,1.8910129840907492,0.3241176470588235,5.305882352941176,-0.27132453008634627,0.609514004492512,-1.5009082663313449,0.8883866312793027,Mexico,UMI,SAGE
34,Danielewicz,2016,Cognition,Demographic,1488,2.508,1.2819302557220529,1.564,4.077,0.8489221493770508,0.2462054121996319,0.3670870725710119,1.332212288393569,Brasil,UMI,
34,Danielewicz,2016,Cognition,Other,1488,1.205,1.3971681180740498,0.63,2.31,0.14371602059828548,0.33439328547653446,-0.509715745396834,0.80110593367118,Brasil,UMI,
34,Danielewicz,2016,Cognition,SDOH,1488,3.0658823529411765,1.4183468948972535,1.5341176470588236,6.169411764705882,0.957297840009022,0.3482880863838196,0.27500709143545093,1.6402963900600236,Brasil,UMI,
35,da Silva,2014,Cognition,Demographic,923,0.96,1.0133084601839872,0.94,0.99,-0.0408219945202552,0.0132206805777005,-0.0618754037180875,-0.0100503358535015,Brazil,UMI,SABE 2006
35,da Silva,2014,Cognition,Functionality,923,0.58,1.2235188778871797,0.39,0.86,-0.544727175441672,0.201731033194863,-0.941608539858445,-0.150822889734584,Brazil,UMI,SABE 2006
35,da Silva,2014,Cognition,Lifestyle factor,923,1.53,1.1948271885824981,1.08,2.17,0.425267735404344,0.178001562861286,0.0769610411361284,0.774727167552368,Brazil,UMI,SABE 2006
35,da Silva,2014,Cognition,Other,923,1.47,1.2336509999408056,0.9766666666666667,2.2333333333333334,0.3832399219309006,0.208154243665763,-0.026840524103635965,0.789124111066155,Brazil,UMI,SABE 2006
40,Martinez-Sanguinetti,2019,Cognition,Demographic,1384,6.281666666666666,1.5813773356160234,1.515,11.668333333333331,1.3941396233607517,0.44948058417500264,0.28180619169818977,2.0437700816641984,Chile,HI,National Health Survey of Chile
40,Martinez-Sanguinetti,2019,Cognition,SDOH,1384,1.506,1.6939080270076292,0.39799999999999996,3.304,0.18384806590617062,0.5216744646143783,-0.9934761647291687,1.0514877365591944,Chile,HI,National Health Survey of Chile
41,Aguilar-Navarro,2021,Cognition,Cognition,147,0.6699999999999999,1.1223945069199341,0.5583333333333332,0.82,-0.4396675871596442,0.11296630004939041,-0.656777270022152,-0.21394937382854207,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
41,Aguilar-Navarro,2021,Cognition,Demographic,142,2.105,1.8397418945157686,0.7825,10.807500000000001,0.6107835509329362,0.4964962351916731,-0.3586755555940993,1.5875896863572572,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
41,Aguilar-Navarro,2021,Cognition,Functionality,149,0.86,1.0743308880499205,0.655,0.865,-0.1576294201110076,0.07163594883462335,-0.42665796635638353,-0.1458450469246595,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
41,Aguilar-Navarro,2021,Cognition,Health,145,1.5899999999999999,1.0910504916530934,1.1400000000000001,1.73,0.461335169419097,0.08154805250795585,0.13041230914094895,0.4500806749721355,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
41,Aguilar-Navarro,2021,Cognition,Mental health,144,1.3399999999999999,1.123066680034328,1.065,1.6949999999999998,0.283565169988229,0.11587055115665865,0.0580908771447049,0.512303437678807,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
41,Aguilar-Navarro,2021,Cognition,SDOH,143,0.885,1.0540323220086791,0.8,0.98,-0.1248721165556943,0.052573538609203004,-0.2281687192409605,-0.02208044789288485,Mexico,UMI,Memory Clinic in a tertiary level University Hospital in Mexico City
42,León-Ortiz,2013,Cognition,Lifestyle factor,2003,0.6749999999999999,1.3982681410937474,0.345,1.3325,-0.6827964441260934,0.3349014136226645,-1.3349411391155521,-0.022127597714707292,Mexico,UMI,Mexican cohort of the 10/66 Dementia Research Group
42,León-Ortiz,2013,Cognition,SDOH,2003,0.7273684210526316,2.022053640421055,0.2810526315789474,3.0805263157894736,-0.4410642082307647,0.6157804929285485,-1.677048778245411,0.7368107540344995,Mexico,UMI,Mexican cohort of the 10/66 Dementia Research Group
44,de León-Arcila,2009,Cognition,Demographic,422,1.0066666666666666,1.5329356883148313,0.6666666666666666,2.3333333333333335,-0.2676540155223823,0.38158053999419295,-0.8026485362172919,0.693147180559945,Mexico,UMI,estudio local
44,de León-Arcila,2009,Cognition,Health,422,2.398,1.8830999124125618,0.8099999999999999,10.129999999999999,0.4351950755771227,0.6131588996825187,-0.40384028883100526,1.999742597924469,Mexico,UMI,estudio local
44,de León-Arcila,2009,Cognition,Lifestyle factor,422,0.97,1.4242516540045358,0.5,2.0,-0.0304592074847086,0.35364652069385,-0.693147180559945,0.693147180559945,Mexico,UMI,estudio local
44,de León-Arcila,2009,Cognition,Mental health,422,2.0,1.9363067860415533,0.6,8.0,0.693147180559945,0.660782440164752,-0.510825623765991,2.07944154167984,Mexico,UMI,estudio local
44,de León-Arcila,2009,Cognition,SDOH,422,0.4666666666666666,2.0732335485226483,0.11333333333333334,1.6666666666666667,-0.8864200123109257,0.724251121719068,-2.37696627676545,0.4620981203732966,Mexico,UMI,estudio local
45,Mendes-Chiloff,2009,Cognition,Demographic,200,2.6999999999999997,1.4715100073388032,1.25,5.949999999999999,0.6514563760904201,0.386144050828721,-0.087176693572389,1.4265079856762002,Brazil,UMI, Botucatu University Hospital
45,Mendes-Chiloff,2009,Cognition,Functionality,200,8.3,1.4806641059371932,3.8,17.7,2.11625551480255,0.392490707359042,1.33500106673234,2.87356463957978,Brazil,UMI, Botucatu University Hospital
45,Mendes-Chiloff,2009,Cognition,Health,200,3.4000000000000004,1.9128433580295048,0.95,17.7,1.059331127416558,0.6268818268358385,-0.0871766935723885,2.3702000676240953,Brazil,UMI, Botucatu University Hospital
46,Valle,2009,Cognition,Demographic,1588,1.8933333333333333,1.1950316159010115,1.3266666666666669,2.7100000000000004,0.595626973925649,0.17788619935748898,0.24772742791893898,0.9450413294002941,Brazil,UMI,Projeto Bambuí
46,Valle,2009,Cognition,Lifestyle factor,1588,1.9249999999999998,1.1670573850943722,1.4249999999999998,2.61,0.6548956075668875,0.15445172691814701,0.3538700914314225,0.9593208609505595,Brazil,UMI,Projeto Bambuí
46,Valle,2009,Cognition,Mental health,1588,1.94,1.1540273441992466,1.46,2.56,0.662687973075237,0.143257862951843,0.378436435720245,0.940007258491471,Brazil,UMI,Projeto Bambuí
46,Valle,2009,Cognition,SDOH,1588,5.91,1.2340696056980685,3.92,8.94,1.77664583141801,0.21031733045486,1.36609165380237,2.19053558918542,Brazil,UMI,Projeto Bambuí
48,Uribe Rodríguez,2008,Cognition,Demographic,416,4.112,2.248013861061074,0.7855,22.3995,1.298479425546494,0.80355155156434,-0.2765274289918637,2.8733946531403447,Colombia,LMI,estudio local
48,Uribe Rodríguez,2008,Cognition,Mental health,416,3.171,1.9782914601965695,0.833,12.081,1.15404699555621,0.682233573304266,-0.182721636815294,2.49163397053743,Colombia,LMI,estudio local
48,Uribe Rodríguez,2008,Cognition,SDOH,416,0.316,2.7831482527617895,0.04466666666666667,2.376,-1.2500701084219112,1.0157570751875478,-3.23743512243666,0.7443326122985198,Colombia,LMI,estudio local
49,Scazufca,2008,Cognition,Health,2005,1.0625,1.2283779657890779,0.6950000000000001,1.6625,0.030705159180374253,0.202123240737848,-0.36709007854367376,0.4252330251486911,Brazil,UMI,Sao Paulo Ageing & Health Study (SPAH)
49,Scazufca,2008,Cognition,Lifestyle factor,2005,0.73,1.2788023987105117,0.45,1.18,-0.3147107448397,0.245924013952894,-0.798507696217772,0.165514438477573,Brazil,UMI,Sao Paulo Ageing & Health Study (SPAH)
49,Scazufca,2008,Cognition,SDOH,2005,1.7333333333333332,1.4634355282208042,0.8450000000000001,3.638333333333333,0.47398592954015345,0.3768032691392648,-0.26386467391414425,1.2132041411117742,Brazil,UMI,Sao Paulo Ageing & Health Study (SPAH)
51,Llibre,1999,Cognition,Demographic,799,2.03955,1.2521790787934821,1.21815,3.7912,0.5962812387185235,0.20765823374661874,0.1892723313701009,1.003292607656848,Cuba,CUBA,Medicina General Integral
51,Llibre,1999,Cognition,Health,799,3.4616,1.2834311219683483,1.7989,4.7844,1.24173090992854,0.249537055664967,0.587175366986503,1.56536062519317,Cuba,CUBA,Medicina General Integral
51,Llibre,1999,Cognition,SDOH,799,1.875333333333333,1.274166318186723,1.1589,3.2517333333333327,0.5295102790859927,0.23667881226758136,0.08003871269579897,1.0078196567847204,Cuba,CUBA,Medicina General Integral
52,Santamaría-García,2023,Cognition,Demographic,31680,2.24183,1.1110713034279567,1.823674,2.75585,0.807292496618985,0.105324688101188,0.600853147608199,1.01372592496486,"Col, Ecu, Chi, Uru",LAC,SABE
52,Santamaría-García,2023,Cognition,Health,31680,1.032955,1.0042391468710907,1.024426,1.041555,0.0324236267491343,0.00423018700053984,0.0241324557318083,0.0407147887739245,"Col, Ecu, Chi, Uru",LAC,SABE
52,Santamaría-García,2023,Cognition,Lifestyle factor,31680,1.099934,1.012504702091654,1.073466,1.127054,0.0952501780042528,0.0124271640289134,0.0708926657345216,0.119607148727862,"Col, Ecu, Chi, Uru",LAC,SABE
52,Santamaría-García,2023,Cognition,Mental health,31680,1.017628,1.0022823044801534,1.013091,1.022185,0.0174744289484405,0.0022797039792882,0.0130060534135162,0.0219424930123259,"Col, Ecu, Chi, Uru",LAC,SABE
52,Santamaría-García,2023,Cognition,SDOH,31680,1.11884,1.0147584025183498,1.087169,1.151433,0.112292434298622,0.0146505570852928,0.0835770698353255,0.141007253609673,"Col, Ecu, Chi, Uru",LAC,SABE
